рік,населений пункт,церкви,гр-кат.,лат.,вірм.,жид.,акат.,школа
1900,Кути,св.Трійці,1702,1230,509,3500,14,6
1900,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",3932,60,5,132,0,2
1900,Брустури,Вознесення Христового,2260,1,56,0,0,1
1901,Кути,св.Трійці,1716,1230,507,3500,14,6
1901,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",3937,60,5,132,0,2
1901,Брустури,Вознесення Христового,2260,1,0,56,0,1
1903,Кути,св.Трійці,1724,1219,520,3137,10,6
1903,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",4214,52,17,150,0,2
1903,Брустури,Вознесення Христового,2360,1,0,60,0,1
1904,Кути,св.Трійці,1729,1219,520,3137,10,6
1904,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",4244,51,17,150,0,2
1904,Брустури,Вознесення Христового,2360,1,0,60,0,1
1905,Кути,св.Трійці,1736,1219,520,3137,10,6
1905,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",4256,52,15,152,0,2
1905,Брустури,Вознесення Христового,2360,1,0,60,0,2
1906,Кути,св.Трійці,1746,1219,520,3137,10,6
1906,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",4312,52,15,152,0,2
1906,Брустури,Вознесення Христового,2385,1,0,75,0,2
1907,Кути,св.Трійці,1749,1219,520,3137,10,6
1907,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",4353,52,15,152,0,2
1907,Брустури,Вознесення Христового,2400,1,0,80,0,2
1909,Кути,св.Трійці,1757,1227,516,3168,10,6
1909,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",4412,52,15,152,0,2
1909,Брустури,Вознесення Христового,2460,0,0,72,0,2
1910,Кути,св.Трійці,1756,1232,510,3168,10,6
1910,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",4454,52,15,152,0,4
1910,Брустури,Вознесення Христового,2410,0,0,72,0,2
1911,Кути,св.Трійці,1762,1232,510,3168,10,6
1911,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",4454,52,15,152,0,4
1911,Брустури,Вознесення Христового,2430,0,0,74,0,2
1912,Кути,св.Трійці,1734,1444,396,3144,10,6
1912,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5030,52,15,152,0,4
1912,Брустури,Вознесення Христового,1542,0,0,74,0,2
1913,Кути,св.Трійці,1743,1456,390,3182,10,6
1913,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5090,52,15,152,0,4
1913,Брустури,Вознесення Христового,2542,4,0,74,0,2
1914,Кути,св.Трійці,1746,1456,390,3182,10,6
1914,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5096,52,15,152,0,4
1914,Брустури,Вознесення Христового,2562,4,74,0,0,2
1925,Кути,св.Трійці,1742,1232,510,3168,10,7
1925,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5096,52,15,152,0,4
1925,Брустури,Вознесення Христового,2600,4,0,50,0,2
1927,Кути,св.Трійці,1749,1232,510,3168,10,7
1927,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5286,52,15,152,0,5
1927,Брустури,Вознесення Христового,2620,4,0,50,0,2
1929,Кути,св.Трійці,1753,1232,510,3168,10,7
1929,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5306,50,15,152,0,7
1929,Брустури,Вознесення Христового,2539,4,0,50,0,2
1930,Кути,св.Трійці,1749,1236,490,3168,8,7
1930,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5306,50,15,152,0,7
1930,Брустури,Вознесення Христового,2689,6,0,50,0,2
1931,Кути,св.Трійці,1749,1236,490,3168,8,7
1931,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5306,50,15,152,0,7
1931,Брустури,Вознесення Христового,2691,13,0,41,0,2
1935,Кути,св.Трійці,1762,1236,490,3168,8,7
1935,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5306,50,15,152,0,7
1935,Брустури,Вознесення Христового,3040,8,68,0,0,2
1938,Кути,св.Трійці,1860,1244,167,2157,0,7
1938,КутиСтарі,"Покрови Присвятої Діви Марії, Преображення Христового",5340,50,15,152,0,7
1938,Брустури,Вознесення Христового,3040,8,68,0,0,2
1900,Кути,св.Трійці,1702,1230,509,3500,14,6
1900,КутиСтарі,"Покрови Присвятої Діви Марії, Рождества Христового",3932,60,5,132,0,2
